service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7507,0,0,0,0,0,1,0,20160901,20180418
7508,0,0,0,0,0,1,0,20160901,20180418
7509,0,0,0,0,0,1,0,20160901,20180418
7510,0,0,0,0,0,1,0,20160901,20180418
7511,0,0,0,0,0,1,0,20160901,20180418
7536,0,0,0,0,0,1,0,20161101,20180418
7537,0,0,0,0,0,1,0,20161101,20180418
7538,0,0,0,0,0,1,0,20161101,20180418
7539,0,0,0,0,0,1,0,20161101,20180418
7810,1,1,1,1,1,0,0,20160901,20180418
7811,1,1,1,1,1,0,0,20160901,20180418
7812,1,1,1,1,1,0,0,20160901,20180418
7813,1,1,1,1,1,0,0,20160901,20180418
7840,1,1,1,1,1,0,0,20160901,20180418
7841,1,1,1,1,1,0,0,20160901,20180418
7842,1,1,1,1,1,0,0,20160901,20180418
7843,1,1,1,1,1,0,0,20160901,20180418
7844,1,1,1,1,1,0,0,20160901,20180418
7863,1,1,1,1,1,0,0,20141020,20180418
7864,1,1,1,1,1,0,0,20141020,20180418
7865,1,1,1,1,1,0,0,20141020,20180418
7866,1,1,1,1,1,0,0,20141020,20180418
7870,0,0,0,0,0,0,1,20150826,20180418
8071,0,0,0,0,0,1,0,20160901,20180418
8072,0,0,0,0,0,1,0,20160901,20180418
8073,0,0,0,0,0,1,0,20160901,20180418
8074,0,0,0,0,0,0,1,20160901,20180418
8075,0,0,0,0,0,0,1,20160901,20180418
8076,0,0,0,0,0,0,1,20160901,20180418
8181,0,0,0,0,0,1,0,20160901,20180418
8182,0,0,0,0,0,1,0,20160901,20180418
8183,0,0,0,0,0,1,0,20160901,20180418
8184,0,0,0,0,0,1,0,20160901,20180418
20219,0,0,0,0,0,1,1,20161001,20181231
20223,0,1,0,0,0,0,0,20000415,20181231
20228,0,1,0,1,0,1,0,20030101,20181231
20230,0,1,0,0,0,0,0,20090201,20181231
20251,1,1,1,1,1,0,0,20040223,20181231
20285,0,0,1,0,1,0,0,20010101,20200131
20286,0,0,0,0,0,1,1,20170415,20170930
20523,1,1,1,1,1,1,0,20090401,20211231
20524,1,1,1,1,1,1,1,20090401,20211231
20525,1,1,1,1,1,0,0,20090401,20211231
20527,1,1,1,1,1,0,0,20060101,20211231
20541,0,0,0,0,1,0,0,20160901,20170531
20543,0,0,1,0,0,0,0,20160901,20170531
20544,0,0,0,0,0,0,1,20090401,20211231
20561,0,0,0,0,0,1,0,20060101,20211231
20570,0,1,0,1,0,0,0,20090401,20211231
20582,1,1,1,1,1,0,0,20060320,20211231
