service_id,date,exception_type
7507,20170501,2
7507,20170604,2
7507,20170623,2
7507,20170624,2
7507,20170820,2
7507,20171224,2
7507,20171225,2
7507,20171226,2
7507,20180101,2
7507,20180224,2
7507,20180330,2
7507,20180401,2
7508,20170501,2
7508,20170604,2
7508,20170623,2
7508,20170624,2
7508,20170820,2
7508,20171224,2
7508,20171225,2
7508,20171226,2
7508,20180101,2
7508,20180224,2
7508,20180330,2
7508,20180401,2
7509,20170501,2
7509,20170604,2
7509,20170623,2
7509,20170624,2
7509,20170820,2
7509,20171224,2
7509,20171225,2
7509,20171226,2
7509,20180101,2
7509,20180224,2
7509,20180330,2
7509,20180401,2
7510,20170501,2
7510,20170604,2
7510,20170623,2
7510,20170624,2
7510,20170820,2
7510,20171224,2
7510,20171225,2
7510,20171226,2
7510,20180101,2
7510,20180224,2
7510,20180330,2
7510,20180401,2
7511,20170501,2
7511,20170604,2
7511,20170623,2
7511,20170624,2
7511,20170820,2
7511,20171224,2
7511,20171225,2
7511,20171226,2
7511,20180101,2
7511,20180224,2
7511,20180330,2
7511,20180401,2
7536,20170501,2
7536,20170604,2
7536,20170623,2
7536,20170624,2
7536,20170820,2
7536,20171224,2
7536,20171225,2
7536,20171226,2
7536,20180101,2
7536,20180224,2
7536,20180330,2
7536,20180401,2
7537,20170501,2
7537,20170604,2
7537,20170623,2
7537,20170624,2
7537,20170820,2
7537,20171224,2
7537,20171225,2
7537,20171226,2
7537,20180101,2
7537,20180224,2
7537,20180330,2
7537,20180401,2
7538,20170501,2
7538,20170604,2
7538,20170623,2
7538,20170624,2
7538,20170820,2
7538,20171224,2
7538,20171225,2
7538,20171226,2
7538,20180101,2
7538,20180224,2
7538,20180330,2
7538,20180401,2
7539,20170501,2
7539,20170604,2
7539,20170623,2
7539,20170624,2
7539,20170820,2
7539,20171224,2
7539,20171225,2
7539,20171226,2
7539,20180101,2
7539,20180224,2
7539,20180330,2
7539,20180401,2
7810,20170501,2
7810,20170604,2
7810,20170623,2
7810,20170624,2
7810,20170820,2
7810,20171224,2
7810,20171225,2
7810,20171226,2
7810,20180101,2
7810,20180224,2
7810,20180330,2
7810,20180401,2
7811,20170501,2
7811,20170604,2
7811,20170623,2
7811,20170624,2
7811,20170820,2
7811,20171224,2
7811,20171225,2
7811,20171226,2
7811,20180101,2
7811,20180224,2
7811,20180330,2
7811,20180401,2
7812,20170501,2
7812,20170604,2
7812,20170623,2
7812,20170624,2
7812,20170820,2
7812,20171224,2
7812,20171225,2
7812,20171226,2
7812,20180101,2
7812,20180224,2
7812,20180330,2
7812,20180401,2
7813,20170501,2
7813,20170604,2
7813,20170623,2
7813,20170624,2
7813,20170820,2
7813,20171224,2
7813,20171225,2
7813,20171226,2
7813,20180101,2
7813,20180224,2
7813,20180330,2
7813,20180401,2
7840,20170501,2
7840,20170604,2
7840,20170623,2
7840,20170624,2
7840,20170820,2
7840,20171224,2
7840,20171225,2
7840,20171226,2
7840,20180101,2
7840,20180224,2
7840,20180330,2
7840,20180401,2
7841,20170501,2
7841,20170604,2
7841,20170623,2
7841,20170624,2
7841,20170820,2
7841,20171224,2
7841,20171225,2
7841,20171226,2
7841,20180101,2
7841,20180224,2
7841,20180330,2
7841,20180401,2
7842,20170501,2
7842,20170604,2
7842,20170623,2
7842,20170624,2
7842,20170820,2
7842,20171224,2
7842,20171225,2
7842,20171226,2
7842,20180101,2
7842,20180224,2
7842,20180330,2
7842,20180401,2
7843,20170501,2
7843,20170604,2
7843,20170623,2
7843,20170624,2
7843,20170820,2
7843,20171224,2
7843,20171225,2
7843,20171226,2
7843,20180101,2
7843,20180224,2
7843,20180330,2
7843,20180401,2
7844,20170501,2
7844,20170604,2
7844,20170623,2
7844,20170624,2
7844,20170820,2
7844,20171224,2
7844,20171225,2
7844,20171226,2
7844,20180101,2
7844,20180224,2
7844,20180330,2
7844,20180401,2
7863,20170501,2
7863,20170604,2
7863,20170623,2
7863,20170624,2
7863,20170820,2
7863,20171224,2
7863,20171225,2
7863,20171226,2
7863,20180101,2
7863,20180224,2
7863,20180330,2
7863,20180401,2
7864,20170501,2
7864,20170604,2
7864,20170623,2
7864,20170624,2
7864,20170820,2
7864,20171224,2
7864,20171225,2
7864,20171226,2
7864,20180101,2
7864,20180224,2
7864,20180330,2
7864,20180401,2
7865,20170501,2
7865,20170604,2
7865,20170623,2
7865,20170624,2
7865,20170820,2
7865,20171224,2
7865,20171225,2
7865,20171226,2
7865,20180101,2
