fare_id,price,currency_type,payment_method,transfers,agency_id
1,1.90,EUR,0,0,60
2,1.95,EUR,0,0,60
3,1.00,EUR,0,0,60
4,1.70,EUR,0,0,60
5,1.15,EUR,0,0,60
6,2.55,EUR,0,0,60
7,2.05,EUR,0,0,60
8,2.00,EUR,0,0,60
9,1.85,EUR,0,0,60
10,1.50,EUR,0,0,60
11,1.40,EUR,0,0,60
12,1.65,EUR,0,0,60
13,2.20,EUR,0,0,60
14,2.40,EUR,0,0,60
15,1.60,EUR,0,0,60
16,1.05,EUR,0,0,60
17,2.15,EUR,0,0,60
18,1.10,EUR,0,0,60
19,1.20,EUR,0,0,60
20,1.80,EUR,0,0,60
21,1.55,EUR,0,0,60
22,2.60,EUR,0,0,60
23,1.45,EUR,0,0,60
24,2.25,EUR,0,0,60
25,1.75,EUR,0,0,60
26,1.25,EUR,0,0,60
27,2.35,EUR,0,0,60
28,2.10,EUR,0,0,60
29,2.65,EUR,0,0,60
30,2.50,EUR,0,0,60
31,1.35,EUR,0,0,60
32,1.30,EUR,0,0,60
33,2.30,EUR,0,0,60
34,1.30,EUR,0,0,71
35,0.80,EUR,0,0,71
36,1.80,EUR,0,0,71
37,1.90,EUR,0,0,71
38,0.70,EUR,0,0,71
39,2.30,EUR,0,0,71
40,1.60,EUR,0,0,71
41,2.10,EUR,0,0,71
42,2.00,EUR,0,0,71
43,1.10,EUR,0,0,71
44,1.20,EUR,0,0,71
45,1.00,EUR,0,0,71
46,1.40,EUR,0,0,71
47,0.90,EUR,0,0,71
48,2.40,EUR,0,0,71
49,0.50,EUR,0,0,71
50,1.70,EUR,0,0,71
51,0.60,EUR,0,0,71
52,1.50,EUR,0,0,71
53,2.20,EUR,0,0,71
54,1.40,EUR,0,0,317
55,1.30,EUR,0,0,317
56,0.50,EUR,0,0,317
57,1.00,EUR,0,0,317
58,0.90,EUR,0,0,317
59,2.40,EUR,0,0,317
60,2.10,EUR,0,0,317
61,1.10,EUR,0,0,317
62,2.30,EUR,0,0,317
63,1.70,EUR,0,0,317
64,0.70,EUR,0,0,317
