"","V1","V2","V3"
"1",NA,2001,401
"2","<U+25BA>",2002,NA
"3","<U+25BA><U+25BA>",2002,NA
"4","Sündmused maailmas",2002,1775
"5","Peep Kalv",2002,1086
"6","Aleksandr Prohhorov",2002,3085
"7","Cyrus Vance",2002,2027
"8","Camilo José Cela",2002,3104
"9","Luule Viilma",2002,3644
"10","Jack Shea",2002,785
"11","Pierre Bourdieu",2002,4762
"12","Robert Nozick",2002,2411
"13","Harald Uibo",2002,1536
"14","Astrid Lindgren",2002,29609
"15","Boris Kabur",2002,5587
"16","Arnold Soobel",2002,572
"17","Albert Enno Aaviksaar",2002,591
"18","Johannes Mikkola",2002,811
"19","Malta",2002,55095
"20","Boris Tamm",2002,3193
"21","Jüri Lass",2002,1287
"22","Pauline Elfriede Leps-Estam",2002,2116
"23","Siim Mandre",2002,872
"24","Zizinho",2002,54
"25","printsess Margaret",2002,NA
"26","Angola",2002,17819
"27","Chuck Jones",2002,1415
"28","Helga Viira",2002,1177
"29","Justin Ahomadegbé",2002,757
"30","Santiago Lovell",2002,472
"31","Natalja Derþavina",2002,252
"32","Agu Pilt",2002,1794
"33","Rauno Remme",2002,2309
"34","Heino Riomar",2002,771
"35","Duilio Bianchini",2002,616
"36","Hans-Georg Gadamer",2002,3088
"37","Billy Wilder",2002,2705
"38","Veena Räägel",2002,462
"39","Elizabeth Bowes-Lyon",2002,7906
"40","Simo Häyhä",2002,9612
"41","Mihkel Hennoste",2002,650
"42","Richard Joonas",2002,591
"43","Jelena Ventsel",2002,860
"44","Agathe Hiielo",2002,1048
"45","Thor Heyerdahl",2002,13246
"46","Ilmar Külvet",2002,2027
"47","Jüri Palm",2002,1714
"48","Barbie",2002,4031
"49","Boliivia",2002,19022
"50","Pim Fortuyn",2002,1674
"51","Xavier Montsalvatge",2002,934
"52","Eugen Sacharias",2002,3040
"53","Otar Lordkipanidze",2002,530
"54","Stephen Jay Gould",2002,1918
"55","Voldemar Tilk",2002,744
"56","Vitali Solomin",2002,2546
"57","Peruu",2002,28365
"58","Regîna Ezera",2002,876
"59","Endel Perem",2002,476
"60","Mare Põldmäe",2002,1299
"61","Enrique Regüeiferos",2002,494
"62","John Entwistle",2002,1051
"63","Ruuben Post",2002,1046
"64","Dominikaani Vabariigi",2002,NA
"65","Richard Võlli",2002,502
"66","Ruudi Toomsalu",2002,2039
"67","Eduardo Chillida",2002,1302
"68","Villu Aabne",2002,822
"69","Thomas Gordon",2002,999
"70","Diana Laev",2002,958
"71","Nobeli keemiaauhind",2002,9653
"72","Urmas Sepp",2002,1556
"73","Anu Anton",2002,4348
"74","Eugeniu Co<U+0219>eriu",2002,751
"75","Edgar Mattisen",2002,1213
"76","Péter Hajd<U+00FA>",2002,984
"77","Sergei Bodrov juunior",2002,810
"78","Peruu",2002,28365
"79","Werner Eberlein",2002,953
"80","Ray Conniff",2002,1454
"81","Lembit Kesa",2002,611
"82","Garth Underwood",2002,1463
"83","Micha<U+00ED>l Stasinópoulos",2002,661
"84","René Thom",2002,1398
"85","Valve Pormeister",2002,2829
"86","Arvi Järvekülg",2002,1499
"87","Aili Raendi",2002,1118
"88","Arsi Aarma",2002,1189
"89","James Coburn",2002,1337
"90","John Rawls",2002,3821
"91","Aare Mäemets",2002,1467
"92","Meta Vannas",2002,2772
"93","Heino Lepikson",2002,1521
"94","Helmut Raig",2002,799
"95","Laine Karindi",2002,1324
"96","Jerzy Adamski",2002,617
"97","Veste Paas",2002,952
"98","Andres Küng",2002,1595
"99","Raimond Otsman",2002,574
"100","Hanswilhelm Beil",2002,630
"101","The Clash",2002,2562
"102","Endel Mallene",2002,2641
"103","Omar Volmer",2002,4011
"104","Louis Laurie",2002,611
"105","<U+25BA>",2003,NA
"106","<U+25BA><U+25BA>",2003,NA
"107","Sündmused maailmas",2003,1775
"108","Elmar Loige",2003,990
"109","Puerto Rico",2003,19485
"110","Andres Skuin",2003,1702
"111","Külli Muna",2003,2478
"112","Argentina",2003,37733
"113","Gudmund Saxrud",2003,701
"114","Richard Crenna",2003,1022
"115","Paul Kuusberg",2003,5390
"116","Heikki Haravee",2003,1628
"117","Valeri Brumel",2003,2754
"118","Mihkel Pikner",2003,579
"119","Gustav Maarand",2003,738
"120","Ilan Ramon",2003,1040
"121","Aino Järvesoo",2003,2295
"122","Aino Järvesoo",2003,2295
"123","eesti",2003,49
"124","Andres Jüriado",2003,693
"125","Madonna",2003,1997
"126","lammas Dolly",2003,NA
"127","Maurice Blanchot",2003,1325
"128","Helle-Reet Helenurm",2003,10697
"129","Sirje Priimägi",2003,1084
"130","Fred Rogers",2003,760
"131","Fidel S<U+00E1>nchez Hern<U+00E1>ndez",2003,566
"132","Chris Brasher",2003,1277
"133","Ene Falkenberg",2003,1551
"134","Zoran <U+0110>in<U+0111>iã",2003,1199
"135","Elis Ask",2003,750
"136","Ita Saks",2003,3120
"137","Anton Mutt",2003,1255
"138","Michael Jeter",2003,881
"139","Harri Kõrvits",2003,8734
"140","Kôsei Matsui",2003,573
"141","Prantsusmaal",2003,NA
"142","Emil Loteanu",2003,772
"143","Aleksander Suuman",2003,7136
"144","Nina Simone",2003,1950
"145","Nobeli meditsiiniauhind",2003,971
"146","Yun Hyon-seok",2003,645
"147","Piet Roozenburg",2003,1004
"148","Ülo Lepp",2003,193
"149","André Muhirwa",2003,901
"150","Juha Tiainen",2003,369
"151","apartheidi",2003,NA
"152","Lõuna-Aafrika Vabariigis",2003,NA
"153","Tranquilo Capozzo",2003,559
"154","June Carter Cash",2003,2483
"155","Enn Rekkor",2003,1966
"156","Luciano Berio",2003,1853
"157","José Mar<U+00ED>a Moncada",2003,397
"158","Nicaragua",2003,16030
"159","Ilya Prigogine",2003,2873
"160","Eldur Parder",2003,1302
"161","Taimi Proos",2003,678
"162","Gérard Deledalle",2003,544
"163","Hein ten Hoff",2003,628
"164","Georg Henrik von Wright",2003,1791
"165","soomerootsi",2003,NA
"166","filosoof",2003,NA
"167","Arnold Ots",2003,465
"168","Ants Erm",2003,2882
"169","Katharine Hepburn",2003,4176
"170","Ilme-Luule Puussaar",2003,541
"171","Buddy Hackett",2003,788
"172","Ilse Erm",2003,1605
"173","Juri Ðtðekotðihhin",2003,1042
"174","André Claveau",2003,1762
"175","Éva Janikovszky",2003,1709
"176","Roberto Bola<U+00F1>o <U+00C1>valos",2003,1078
"177","Jüri Vetemaa",2003,1111
"178","Arvo Niitenberg",2003,1562
"179","Walter Zapp",2003,5468
"180","Lauri Aus",2003,6192
"181","soome",2003,5
"182","Linda Alekõrs",2003,584
"183","Sam Phillips",2003,1025
"184","Marie Trintignant",2003,1751
