"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"A";"Agilent Technologies Inc";"Health Care";50.36;0.86;123841;1.4;0.53
"AAL";"American Airlines Group";"Industrials";45.07;0.02;253862;4.81;0.4
"AAP";"Advance Auto Parts";"Consumer Discretionary";163.04;0.19;44814;6.1;0.24
"AAPL";"Apple Inc.";"Information Technology";131.76;-0.21;3069322;8.33;2.28
"ABBV";"AbbVie";"Health Care";60.5299;0.0164;234124;3.63;2.56
"ABC";"AmerisourceBergen Corp";"Health Care";90.77;-0.33;60042;5.99;1.46
"ABT";"Abbott Laboratories";"Health Care";42.6;0.47;263802;0.94;1.06
"ACN";"Accenture plc";"Information Technology";115.82;0.34;144021;6.76;2.42
"ADBE";"Adobe Systems Inc";"Information Technology";116.69;0.48;175917;2.32;0
"ADI";"Analog Devices, Inc.";"Information Technology";77.28;-0.26;155380;2.76;1.68
"ADM";"Archer-Daniels-Midland Co";"Consumer Staples";43.62;0.37;164902;2.65;1.2
"ADP";"Automatic Data Processing";"Information Technology";96.84;0.27;51321;3.72;2.28
"ADS";"Alliance Data Systems";"Information Technology";227.13;0.61;16731;7.34;2.08
"ADSK";"Autodesk Inc";"Information Technology";83.465;0.645;70921;-1.996;0
"AEE";"Ameren Corp";"Utilities";53.02;-0.19;23198;2.67;1.76
"AEP";"American Electric Power";"Utilities";63.6783;-0.1908;81467;1.242;2.36
"AES";"AES Corp";"Utilities";11.61;0.17;134813;-0.41;0.48
"AET";"Aetna Inc";"Health Care";120.3997;-0.7668;192489;6.41;1
"AFL";"AFLAC Inc";"Financials";69.96;0.46;60185;6.42;1.72
"AGN";"Allergan, Plc";"Health Care";247.74;2.72;935595;35.66;2.8
"AIG";"American International Group, Inc.";"Financials";65.04;0.2;242851;0.31;1.28
"AIZ";"Assurant Inc";"Financials";90.2125;-0.2626;14973;9.322;2.12
"AIV";"Apartment Investment & Mgmt";"Real Estate";45.1655;-0.2969;37870;2.67;1.44
"AJG";"Arthur J. Gallagher & Co.";"Financials";54.15;0.17;16960;2.32;1.56
"AKAM";"Akamai Technologies Inc";"Information Technology";63.9093;0.5654;337355;1.761;NA
"ALB";"Albemarle Corp";"Materials";94.79;0.47;30774;1.91;1.22
"ALK";"Alaska Air Group Inc";"Industrials";96.09;-1.14;108523;7.13;1.1
"ALL";"Allstate Corp";"Financials";77.7727;-0.2786;108482;4.67;1.32
"ALLE";"Allegion";"Industrials";69.775;3.217;71058;2.33;0.64
"ALXN";"Alexion Pharmaceuticals";"Health Care";126.7;0.26;112219;1.64;NA
"AMAT";"Applied Materials Inc";"Information Technology";35.62;0.06;509813;1.54;0.4
"AME";"AMETEK Inc";"Industrials";52.71;0.69;53482;2.3;0.36
