DIM2,Kuu,DIM3,Näitaja,DIM4,Elukindlustusliik,DIM5,Elukindlustusandja,TIME,Vaatlusperiood,Value,Flag Codes,Flags
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2010,2010,78770.65944,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2011,2011,65936.5,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2012,2012,66519.96,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2013,2013,72772.767,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2014,2014,79552.262,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2015,2015,82435.794,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2016,2016,85651.797,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,1,Elukindlustusandjad kokku,2017,2017,91258.913,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,2,Ergo Elukindlustuse AS,2010,2010,4633.78625,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2010,2010,27271.54781,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2011,2011,24038.3,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2012,2012,24272.177,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2013,2013,26907.509,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2014,2014,29436.036,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2015,2015,33140.783,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2016,2016,33659.434,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,3,Swedbank Life Insurance SE,2017,2017,37267.458,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2010,2010,23349.35385,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2011,2011,11169.2,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2012,2012,9772.545,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2013,2013,8928.125,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2014,2014,10175.63,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2015,2015,5897.984,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2016,2016,5033.56,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,4,Mandatum Life Insurance Baltic SE,2017,2017,6407.383,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2010,2010,5920.58339,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2011,2011,8105.3,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2012,2012,9461.043,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2013,2013,12990.401,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2014,2014,14939.867,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Elukindlustus kokku,5,Compensa Life Vienna Insurance Group SE,2015,2015,15972.223,,
