DIM2,Kuu,DIM3,Näitaja,DIM4,Kahjukindlustusliik,DIM5,Kahjukindlustusandja,TIME,Vaatlusperiood,Value,Flag Codes,Flags
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2010,2010,217273.40125,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2011,2011,216371.856,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2012,2012,230284.37,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2013,2013,244356.982,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2014,2014,261413.971,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2015,2015,278806.486,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2016,2016,302352.747,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,1,Kahjukindlustusandjad kokku,2017,2017,335970.431,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2010,2010,7211.59869,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2011,2011,6689.1,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2012,2012,6413.62,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2013,2013,9397.04,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2014,2014,9072.705,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2015,2015,9276.023,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2016,2016,10186.776,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,2,Akciné draudimo bendrové Gjensidige Eesti filiaal,2017,2017,9482.063,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2010,2010,9279.5879,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2011,2011,10169.9,,
1,Kasvavalt kokku,1,Saadud kindlustuspreemiad,1,Kahjukindlustus kokku,3,AAS BTA Baltic Insurance Company Eesti filiaal,2012,2012,12488.287,,
