;Telereklaam;Raadioreklaam;Internetireklaam;Välireklaam;Ajakirjandusreklaam;Reklaamtrükised;Kokku
"Eesti Keskerakond";"83 053";"3 134";"4 491";"80 912";"26 165";"62 062";"259 817"
"Eesti Konservatiivne Rahvaerakond";"29 385";"3 146";"35 050";60;"11 080";"7 900";"86 622"
"Eesti Reformierakond";"29 995";0;"21 396";"38 742";"11 739";"14 546";"116 419"
"Eesti Vabaduspartei - Põllumeeste Kogu";0;0;0;0;0;0;0
"Eesti Vabaerakond";180;0;"1 715";"12 866";"26 514";"8 397";"49 671"
"EESTIMAA ÜHENDATUD VASAKPARTEI";0;0;0;0;0;294;294
"Elurikkuse Erakond";0;0;62;0;0;0;62
"Erakond Eesti 200";"20 325";0;"12 174";"18 505";"6 264";"5 171";"62 441"
"Erakond Eestimaa Rohelised";0;0;"9 405";0;0;0;"9 405"
"Erakond Rahva Tahe";0;0;"4 652";0;"9 192";0;"13 844"
"ISAMAA Erakond";"110 609";"7 389";"51 539";"21 181";711;"73 995";"265 426"
"Rahva Ühtsuse Erakond";0;0;0;0;0;0;0
"Sotsiaaldemokraatlik Erakond";"45 016";"3 238";"14 765";"1 915";"11 423";"40 576";"116 933"
Kokku:;"318 564";"16 908";"155 250";"174 182";"103 089";"212 941";"980 933"
"Erakondi kokku:";13
