"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"11","MACHO (2005, VP)","81.8","458.2","503","99.25",1142.25
"165","ROSEHILL FASCINATION (2008, SP)","0","0","465.4","642.25",1107.65
"6","VIP (2008, SP)","107","0","405.8","302",814.8
"34","BALESTRA (2005, SP)","11","233","191","345.5",780.5
"110","DEAL OR NO DEAL (2004, SP)","0","246","45","266.6",557.6
"1","JALICA VAN BLOMMERCHOT (2005, SP)","225.4","261.45","27","20",533.85
"10","MARIANA (2004, VP)","89","141.8","219.8","0",450.6
"29","MON ACO (2011, SP)","13","253.35","131.5","12",409.85
"112","TAGLAS (2011, VP)","0","60.6","142","197.6",400.2
"113","MON ROBERTA (2009, SP)","0","51","112","133",296
"7","MON ARH (2009, SP)","97.6","193","2","0",292.6
"114","ONLY (2012, SP)","0","46.2","59.2","180.8",286.2
"17","MAHDI F (2008, SP)","42","64","68","84",258
"26","WISE GUY (2007, VP)","17","214.4","9","12",252.4
"22","ELKUR (2006, SP)","25","52","158.05","1",236.05
"168","BURBERRY (2012)","0","0","65","167.2",232.2
"20","TOONIK (2000, SP)","33","45","102","49",229
"19","OFF LIMIT (2010, SP)","37","62.6","49","74",222.6
"5","WANESSA (2007, SP)","119.5","54","48","0",221.5
"3","KAMIERA (2004, SP)","148.5","70","0","0",218.5
"18","MON COMERY (2008, SP)","40.4","119","40","8",207.4
"197","MONSSON (2010, SP)","0","0","7","186.75",193.75
"2","RALF (2006, SP)","173","4","0","0",177
"52","WONDERFUL SURPRISE (2006, SP)","6","64","104","0",174
"111","LUKA (2008, VP)","0","148.4","9","9",166.4
"166","GENESIS (2011, SP)","0","0","154","12",166
"25","CESSIKA (2010, SP)","18","118.6","22","4",162.6
"47","ODRINO 'B' VAN HET JUXSCHOT (2010, SP)","7","76","76","0",159
"177","RETRO (2013, SP)","0","0","22","120",142
"167","VÄLE II (2011, VP)","0","0","104.5","31",135.5
