"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"189","ALFONS RA (2007)","13","623","2626","3809",7071
"1","A BROK (2005)","962","1158.5","2202.75","1057",5380.25
"11","IBELLE VAN DE GROTE HAART (2008)","338","1102","2403","1192",5035
"700","RENESSIN (2007)","0","0","1808.5","2627.25",4435.75
"7","CARLOS (2007)","435.25","786.25","1377","1493.5",4092
"35","ARTAS (2005)","135","0","737","2580",3452
"31","CAESAR (2009)","152","370.25","1020.25","1850.75",3393.25
"5","TRAFFIC (2007)","472.5","1016.25","936","858.5",3283.25
"515","DON-KIDE (2008)","0","531","833.75","1419.5",2784.25
"50","SOLEI SOLEI (2008)","108","441.05","788.2","1236.75",2574
"91","SAMURAI`S MIRACLE (2007)","53","331","1129","838.8",2351.8
"97","FREEDOM (2010)","46","146","318.5","1652.75",2163.25
"76","D.LADY (2008)","63","457","683","843",2046
"48","HENRIETTA (2005)","114","335","598.75","782",1829.75
"514","ADORABLE CHABALITO (2007)","0","546.5","349.25","365.8",1261.55
"166","DIXON (2008)","18","98","245","876",1237
"57","FRED (2008)","99","364","203","552.5",1218.5
"136","BANDERAS B (2006)","27","538.5","198","416.7",1180.2
"126","CON QUICK (2008)","30","57.9","478.5","593",1159.4
"611","DONNA (2008)","0","4","366.5","742",1112.5
"516","AGA FLAMENCO VON FEICHT (2004)","0","423","403.2","265.5",1091.7
"552","PING PONG V (2012)","0","22.8","251","755.4",1029.2
"2","VANCO Z (2005)","636","347","40.5","0",1023.5
"14","GARDENTO PROVA (2006)","324.75","265.75","409.75","0",1000.25
"532","MADŽIL (2008)","0","52.5","473.5","459.25",985.25
"13","SINEQUAMON (2008)","333.5","651.5","0","0",985
"27","DONNA-PAOLA (2008)","161","227","352","207",947
"6","PICCOLINA (2006)","468","143.5","53","250.75",915.25
"34","ORLYMEJA (2007)","135.9","307","287","176.5",906.4
"33","LASCA 14 (2001)","139.3","251","370.4","131.2",891.9
"72","HANGSTONE JT Z (2008)","66","136","509","154.5",865.5
"24","QUOTE (2007)","171.75","552.25","115","26",865
"71","TORPILLE DU BANNEY (2007)","68","64.5","535","156",823.5
"701","DANNETTE V (2008)","0","0","764","0",764
"526","QUENTINA (2011)","0","73","178","498.8",749.8
"16","QATIMINI DES VERGERS Z (2005)","305.5","162.5","230.75","0",698.75
"28","VEDETTE B (2002)","158","258.4","124.3","143.1",683.8
"22","CALIMERO VON CIMELY (2003)","187","142.25","171","166",666.25
"42","PEPERONI (2006)","122","114","336.1","85",657.1
"518","JACOBA STUD FUMOSA (2010)","0","225.5","385","38",648.5
"3","BETTEBALIA (2006)","594.5","53","0","0",647.5
"60","PUTTER ATACAMA (2009)","89","124","203.25","187.4",603.65
"879","I LOVE YOU TER PUTTE (2008)","0","0","0","603.25",603.25
"62","EMORA (2009)","84","83.5","164.8","251.4",583.7
"109","STRAIGHT FLUSH (2007)","39","201.55","332.2","0",572.75
"4","CORSICA (2005)","560.5","0","0","0",560.5
"68","BÜCARO  HP (2006)","77","36","447.25","0",560.25
"247","B CAPTAIN NORMAN (2011)","7","22","75.5","437.8",542.3
"8","VACANTOS (2002)","400.9","122","0","0",522.9
"15","OPAAL (2000)","323","199.5","0","0",522.5
"549","GRAFFITI (2011)","0","24","134","360.2",518.2
"168","TOSCANA (2005)","18","230.5","78","190.5",517
"94","ILAYZA (2008)","50","95","278","91",514
"18","CATANA VAN'T STEENPUTJE (2002)","209.25","34","148.5","117.2",508.95
"101","CINTA (2009)","42.5","457.3","0","0",499.8
"519","ILSONNE V BAREELHOF (2008)","0","210.5","10","277",497.5
"197","PITTEGAARDENS ROSITA (2005)","12","296.75","153.5","31.5",493.75
"92","SPACE KING (2008)","51","135.5","242.25","47",475.75
"880","STRIGA (2008)","0","0","0","466",466
"118","LEANDER (2007)","33","171","193","65",462
"734","JAY-Z BEE (2012)","0","0","23","439",462
"20","SAN ANTONIO (2000)","195.5","6","115.35","135",451.85
"704","JUTA (2006)","0","0","173.5","275",448.5
"517","EXPERT (2009)","0","229.75","24","194",447.75
"537","EVOLINUS (2009)","0","40.5","391","0",431.5
"258","DEXTER (2008)","6.5","39","93","288.5",427
"26","WILANDER (2010)","164","238","0","0",402
